City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,vila velha,-20.3297,-40.292,297.12,75,75,3.13,BR,1724230724
300,taltal,-25.4078,-70.4858,286.6,74,0,1.12,CL,1724238262
301,vilyuchinsk,52.9318,158.4054,284.32,78,71,4.57,RU,1724264370
302,geraldton,-28.7704,114.6147,287.24,88,47,2.57,AU,1724194078
303,st. john's,47.5615,-52.7126,296.7,97,100,10.29,CA,1724229329
304,tolanaro,-25.0297,46.9904,298.03,53,20,10.8,MG,1724210062
305,tamanrasset,22.7855,5.5324,310.05,13,40,1.54,DZ,1724217419
306,calabozo,8.918,-67.4173,300.21,77,3,0.98,VE,1724235711
307,beberibe,-4.181,-38.1298,302.49,54,3,5.88,BR,1724229353
308,longyearbyen,78.2232,15.6464,285.3,76,75,7.2,SJ,0
309,taro,-8.3862,115.28,292.33,94,82,0.97,ID,1724192761
310,brooks,50.571,-111.893,284.81,87,16,1.03,CA,1724243159
311,kuala belait,4.5845,114.1932,298.29,90,100,1.84,BN,1724192353
312,pandan,-3.2874,104.193,301.9,58,100,2.4,ID,1724195158
313,garissa,-0.4567,39.6405,304.75,33,79,11.47,KE,1724210503
314,ola,35.0323,-93.2232,292.18,67,1,1.75,US,1724240277
315,parsabad,39.6462,47.9186,308.33,31,0,4.12,IR,1724205990
316,mount isa,-20.729,139.4932,288.07,41,0,0.0,AU,1724187621
317,port augusta,-32.4909,137.764,286.41,90,100,4.77,AU,1724188777
318,san jose village,14.6667,121.017,302.57,80,75,0.51,PH,1724190174
319,chipata,-13.6391,32.6458,300.98,20,15,3.07,ZM,1724212861
320,khovd,48.0006,91.6452,295.62,26,0,1.25,MN,1724194597
321,arklow,52.7982,-6.154,291.54,80,100,9.6,IE,1724217430
322,pikalevo,59.513,34.1774,295.55,36,100,3.27,RU,1724206481
323,dabai,25.2653,55.2925,312.34,59,0,7.2,AE,1724205316
324,gurghiu,46.7722,24.858,305.58,18,3,1.55,RO,1724210790
325,fuerte olimpo,-21.0385,-57.8748,306.52,17,1,5.81,PY,1724234982
326,tabriz,38.074,46.2962,307.85,12,20,3.09,IR,1724206520
327,erdenet,49.0275,104.0448,286.38,93,77,1.41,MN,1724191487
328,pitimbu,-7.4728,-34.8112,299.83,73,19,6.1,BR,1724228725
329,cable beach,-17.9328,122.2137,297.12,83,57,4.63,AU,1724191608
330,tercan,39.7785,40.3827,306.74,16,78,4.77,TR,1724207787
331,colonia,50.9384,6.96,296.55,42,0,8.75,DE,1724214553
332,gamba,28.2764,88.5165,282.76,58,16,4.27,CN,1724197139
333,nasiriyah,31.044,46.2576,319.36,8,0,5.35,IQ,1724207089
334,dejen,10.1641,38.15,289.69,78,100,2.31,ET,1724210309
335,sabha,-18.1416,178.4422,296.86,83,75,3.09,FJ,1724264489
336,fort bragg,35.1403,-79.1541,293.07,71,0,4.12,US,1724236890
337,timimoun,29.2605,0.2286,318.36,8,6,4.63,DZ,1724218268
338,letlhakeng,-24.0993,25.0321,301.52,7,5,1.16,BW,1724215273
339,ad-damazin,11.8074,34.3656,296.45,91,100,1.98,SD,1724211129
340,talara,-4.5797,-81.2718,292.12,79,44,7.64,PE,1724239725
341,labytnangi,66.6615,66.3811,288.13,60,46,5.37,RU,1724196563
342,omaruru,-21.4174,15.9514,303.6,6,0,1.45,NA,1724217295
343,araucaria,-25.5861,-49.4051,290.4,61,13,3.38,BR,1724233217
344,sidi merouane,36.5397,1.34,303.32,55,99,6.91,DZ,1724217447
345,claveria,18.6052,121.0806,300.87,81,98,0.75,PH,1724189933
346,sadao,6.6364,100.4213,301.81,92,100,1.17,TH,1724195551
347,bonito,41.0977,15.0013,300.34,39,75,2.45,IT,1724213759
348,santana,-12.9792,-44.0506,301.69,35,0,2.72,BR,1724231226
349,basco,40.3278,-91.2001,289.19,70,98,2.68,US,1724239338
350,hasaki,35.753,140.8201,299.17,86,100,2.54,JP,1724184019
351,pechora,65.1155,57.1616,291.46,47,11,4.98,RU,1724199368
352,serowe,-22.3978,26.7033,298.93,10,0,3.17,BW,1724214772
353,saquarema,-22.9258,-42.5076,295.89,72,100,2.5,BR,1724231404
354,urangan,-25.2872,152.8981,293.04,85,16,4.01,AU,1724184676
355,tyukhtet,56.5398,89.3115,289.93,88,97,5.35,RU,1724193848
356,najran,17.544,44.2247,309.74,26,90,6.31,SA,1724208443
357,kill devil hills,36.0321,-75.6776,295.92,53,0,4.12,US,1724235984
358,moranbah,-22.003,148.0433,289.54,71,5,4.04,AU,1724185644
359,maxixe,-11.0795,-42.1315,300.14,34,5,5.78,BR,1724230667
360,egilsstadir,65.262,-14.4035,280.09,76,75,4.63,IS,1724216531
361,hadibu,12.6512,54.0237,300.93,68,34,9.32,YE,1724206365
